Team,Year,Host,Games Played,Goals Scored,Goals Conceded,Wins,Losses,Draws,Attendance Avg,Goals Scored Avg,Goals Conceded Avg
Spain,2023,"Australia, New Zealand",7,18,7,6,1,0,37020.71428571428,2.5714285714285716,1.0
England,2023,"Australia, New Zealand",7,13,4,5,1,1,53588.28571428572,1.8571428571428572,0.5714285714285714
Sweden,2023,"Australia, New Zealand",7,14,4,5,1,1,32709.714285714286,2.0,0.5714285714285714
Australia,2023,"Australia, New Zealand",7,10,8,3,3,1,57590.857142857145,1.4285714285714286,1.1428571428571428
France,2023,"Australia, New Zealand",5,12,4,3,0,2,38387.8,2.4,0.8
Colombia,2023,"Australia, New Zealand",5,6,4,3,2,0,37130.8,1.2,0.8
Netherlands,2023,"Australia, New Zealand",5,12,3,3,1,1,23954.4,2.4,0.6
Japan,2023,"Australia, New Zealand",5,15,3,4,1,0,24063.8,3.0,0.6
Jamaica,2023,"Australia, New Zealand",4,1,1,1,1,2,27594.0,0.25,0.25
Morocco,2023,"Australia, New Zealand",4,2,10,2,2,0,17760.25,0.5,2.5
Nigeria,2023,"Australia, New Zealand",4,3,2,1,0,3,36227.75,0.75,0.5
Denmark,2023,"Australia, New Zealand",4,3,3,2,2,0,37777.25,0.75,0.75
South Africa,2023,"Australia, New Zealand",4,6,8,1,2,1,20587.75,1.5,2.0
United States,2023,"Australia, New Zealand",4,4,1,1,0,3,34270.75,1.0,0.25
Switzerland,2023,"Australia, New Zealand",4,3,5,1,1,2,23411.0,0.75,1.25
Norway,2023,"Australia, New Zealand",4,7,4,1,2,1,30161.25,1.75,1.0
Korea Republic,2023,"Australia, New Zealand",3,1,4,0,2,1,25384.666666666668,0.3333333333333333,1.3333333333333333
Germany,2023,"Australia, New Zealand",3,8,3,1,1,1,35566.666666666664,2.6666666666666665,1.0
Italy,2023,"Australia, New Zealand",3,3,8,1,2,0,24999.666666666668,1.0,2.6666666666666665
Argentina,2023,"Australia, New Zealand",3,2,5,0,2,1,19210.0,0.6666666666666666,1.6666666666666667
Brazil,2023,"Australia, New Zealand",3,5,2,1,1,1,30052.666666666668,1.6666666666666667,0.6666666666666666
Panama,2023,"Australia, New Zealand",3,3,11,0,3,0,23209.0,1.0,3.6666666666666665
Vietnam,2023,"Australia, New Zealand",3,0,12,0,3,0,18655.666666666668,0.0,4.0
Portugal,2023,"Australia, New Zealand",3,2,1,1,1,1,19864.666666666668,0.6666666666666666,0.3333333333333333
Haiti,2023,"Australia, New Zealand",3,0,4,0,3,0,24980.333333333332,0.0,1.3333333333333333
China PR,2023,"Australia, New Zealand",3,2,7,1,2,0,14387.0,0.6666666666666666,2.3333333333333335
Costa Rica,2023,"Australia, New Zealand",3,1,8,0,3,0,12691.666666666666,0.3333333333333333,2.6666666666666665
Zambia,2023,"Australia, New Zealand",3,3,11,1,2,0,15070.333333333334,1.0,3.6666666666666665
Republic of Ireland,2023,"Australia, New Zealand",3,1,3,0,2,1,39244.333333333336,0.3333333333333333,1.0
Canada,2023,"Australia, New Zealand",3,2,5,1,1,1,22060.333333333332,0.6666666666666666,1.6666666666666667
New Zealand,2023,"Australia, New Zealand",3,1,1,1,1,1,33480.333333333336,0.3333333333333333,0.3333333333333333
Philippines,2023,"Australia, New Zealand",3,1,8,1,2,0,26921.666666666668,0.3333333333333333,2.6666666666666665
United States,2019,France,7,26,3,7,0,0,37606.142857142855,3.7142857142857144,0.42857142857142855
Netherlands,2019,France,7,11,5,6,1,0,28911.714285714286,1.5714285714285714,0.7142857142857143
England,2019,France,7,13,5,5,2,0,23269.714285714286,1.8571428571428572,0.7142857142857143
Sweden,2019,France,7,12,6,5,2,0,25684.85714285714,1.7142857142857142,0.8571428571428571
Italy,2019,France,5,9,4,3,2,0,17831.4,1.8,0.8
Germany,2019,France,5,10,2,4,1,0,18967.0,2.0,0.4
France,2019,France,5,10,4,4,1,0,30799.0,2.0,0.8
Norway,2019,France,5,7,7,2,2,1,16015.0,1.4,1.4
China PR,2019,France,4,1,3,1,2,1,16150.0,0.25,0.75
Japan,2019,France,4,3,5,1,2,1,18412.75,0.75,1.25
Spain,2019,France,4,4,4,1,2,1,16063.0,1.0,1.0
Canada,2019,France,4,4,3,2,2,0,20730.25,1.0,0.75
Cameroon,2019,France,4,3,8,1,3,0,15322.5,0.75,2.0
Brazil,2019,France,4,7,5,2,2,0,14092.25,1.75,1.25
Nigeria,2019,France,4,2,7,1,3,0,17141.25,0.5,1.75
Australia,2019,France,4,9,6,2,1,1,12453.5,2.25,1.5
New Zealand,2019,France,3,1,5,0,3,0,11173.0,0.3333333333333333,1.6666666666666667
Thailand,2019,France,3,1,20,0,3,0,13837.333333333334,0.3333333333333333,6.666666666666667
Chile,2019,France,3,2,5,1,2,0,25012.0,0.6666666666666666,1.6666666666666667
